, Country,location
126,Libya,"(26.8234472, 18.1236723)"
127,Morocco,"(31.1728205, -7.3362482)"
128,Monaco,"(43.7323492, 7.4276832)"
129,Republic of Moldova,"(47.2879608, 28.5670941)"
130,Montenegro,"(42.9868853, 19.5180992)"
131,Saint Martin,"(48.5683066, 6.7539988)"
132,Madagascar,"(-18.9249604, 46.4416422)"
133,Marshall Islands,"(8.9995549, 168.0002575)"
134,North Macedonia,"(41.6171214, 21.7168387)"
135,Mali,"(16.3700359, -2.2900239)"
136,Myanmar,"(17.1750495, 95.9999652)"
137,Mongolia,"(46.8250388, 103.8499736)"
138,Northern Mariana Islands (Commonwealth of the),"(14.149020499999999, 145.21345248318923)"
139,Martinique,"(14.6113732, -60.9620777)"
140,Mauritania,"(20.2540382, -9.2399263)"
141,Montserrat,"(16.7417041, -62.1916844)"
142,Malta,"(35.8885993, 14.4476911)"
143,Mauritius,"(-20.2759451, 57.5703566)"
144,Maldives,"(4.7064352, 73.3287853)"
145,Malawi,"(-13.2687204, 33.9301963)"
146,Mexico,"(19.4326296, -99.1331785)"
147,Malaysia,"(4.5693754, 102.2656823)"
148,Mozambique,"(-19.302233, 34.9144977)"
149,New Caledonia,"(-20.454288599999998, 164.55660583077983)"
150,Niger,"(17.7356214, 9.3238432)"
151,Nigeria,"(9.6000359, 7.9999721)"
152,Nicaragua,"(12.6090157, -85.2936911)"
153,Netherlands,"(52.5001698, 5.7480821)"
154,Norway,"(60.5000209, 9.0999715)"
155,Nepal,"(28.1083929, 84.0917139)"
156,Nauru,"(-0.5252306, 166.9324426)"
157,Niue,"(-19.0536414, -169.8613411)"
158,New Zealand,"(-41.5000831, 172.8344077)"
159,Oman,"(21.0000287, 57.0036901)"
160,Panama,"(8.559559, -81.1308434)"
161,Peru,"(-6.8699697, -75.0458515)"
162,French Polynesia,"(-16.03442485, -146.0490931059517)"
163,Papua New Guinea,"(-5.6816069, 144.2489081)"
164,Philippines,"(12.7503486, 122.7312101)"
165,Pakistan,"(30.3308401, 71.247499)"
166,Poland,"(52.215933, 19.134422)"
167,Saint Pierre and Miquelon,"(46.783246899999995, -56.195158907484085)"
168,Pitcairn Islands,"(-25.0657719, -130.1017823)"
169,Puerto Rico,"(18.1990856, -66.23444888114108)"
170,"occupied Palestinian territory, including east Jerusalem",
171,Portugal,"(40.0332629, -7.8896263)"
172,Palau,"(7.3245000000000005, 134.496454875)"
173,Paraguay,"(-23.3165935, -58.1693445)"
174,Qatar,"(25.3336984, 51.2295295)"
175,Réunion,"(-21.1309332, 55.5265771)"
176,Romania,"(45.9852129, 24.6859225)"
177,Serbia,"(44.024322850000004, 21.07657433209902)"
178,Russian Federation,"(64.6863136, 97.7453061)"
179,Rwanda,"(-1.9646631, 30.0644358)"
180,Saudi Arabia,"(25.6242618, 42.3528328)"
181,Solomon Islands,"(-8.7053941, 159.10710973724628)"
182,Seychelles,"(-4.6574977, 55.4540146)"
183,Sudan,"(14.5844444, 29.4917691)"
184,Sweden,"(59.6749712, 14.5208584)"
185,Singapore,"(1.3408630000000001, 103.83039182212079)"
186,Saint Helena,"(-15.9694573, -5.7129442)"
187,Slovenia,"(45.8133113, 14.4808369)"
188,Slovakia,"(48.7411522, 19.4528646)"
189,Sierra Leone,"(8.6400349, -11.8400269)"
190,San Marino,"(43.9458623, 12.458306)"
191,Senegal,"(14.4750607, -14.4529612)"
192,Somalia,"(8.3676771, 49.083416)"
193,Suriname,"(4.1413025, -56.0771187)"
194,South Sudan,"(7.8699431, 29.6667897)"
195,Sao Tome and Principe,"(0.8875498, 6.9648718)"
196,El Salvador,"(13.8000382, -88.9140683)"
197,Sint Maarten,"(50.8381331, 4.9237307)"
198,Syrian Arab Republic,"(34.6401861, 39.0494106)"
199,Eswatini,"(-26.5624806, 31.3991317)"
200,Turks and Caicos Islands,"(21.7214683, -71.6201783)"
201,Chad,"(15.6134137, 19.0156172)"
202,Togo,"(8.7800265, 1.0199765)"
203,Thailand,"(14.8971921, 100.83273)"
204,Tajikistan,"(38.6281733, 70.8156541)"
205,Tokelau,"(-9.1676396, -171.8196878)"
206,Timor-Leste,"(-8.5151979, 125.8375756)"
207,Turkmenistan,"(39.3763807, 59.3924609)"
208,Tunisia,"(33.8439408, 9.400138)"
209,Tonga,"(-19.9160819, -175.2026424)"
210,Turkey,"(38.9597594, 34.9249653)"
211,Trinidad and Tobago,"(10.8677845, -60.9821067)"
212,Tuvalu,"(-8.6405212, 179.1582918181797)"
213,United Republic of Tanzania,"(-6.5247123, 35.7878438)"
214,Ukraine,"(49.4871968, 31.2718321)"
215,Uganda,"(1.5333554, 32.2166578)"
216,United States of America,"(39.7837304, -100.4458825)"
217,Uruguay,"(-32.8755548, -56.0201525)"
218,Uzbekistan,"(41.32373, 63.9528098)"
219,Holy See,"(38.9247244, -77.06572732690151)"
220,Saint Vincent and the Grenadines,"(12.90447, -61.2765569)"
221,Venezuela (Bolivarian Republic of),"(8.0018709, -66.1109318)"
222,British Virgin Islands,"(18.4024395, -64.5661642)"
223,United States Virgin Islands,"(17.789187, -64.7080574)"
224,Viet Nam,"(13.2904027, 108.4265113)"
225,Vanuatu,"(-16.5255069, 168.1069154)"
226,Wallis and Futuna,"(-14.30190495, -178.08997342208266)"
227,Samoa,"(-13.7693895, -172.1200508)"
228,Kosovo[1],
229,Yemen,"(16.3471243, 47.8915271)"
230,Mayotte,"(-12.823048, 45.1520755)"
231,South Africa,"(-28.8166236, 24.991639)"
232,Zambia,"(-14.5186239, 27.5599164)"
233,Zimbabwe,"(-18.4554963, 29.7468414)"
234,Namibia,"(-23.2335499, 17.3231107)"
